names;Lab;Method SiO2;Prep SiO2;Method TiO2;Prep TiO2;Method Al2O3;Prep Al2O3;Method Fe2O3T;Prep Fe2O3T;Method FeO;Prep FeO;Method MnO;Prep MnO;Method MgO;Prep MgO;Method CaO;Prep CaO;Method Na2O;Prep Na2O;Method K2O;Prep K2O;Method P2O5;Prep P2O5;Method H2O+;Prep H2O+;Method H2O-;Prep H2O-;Method CO2;Prep CO2;Method LOI;Prep LOI;Method As;Prep As;Method Ba;Prep Ba;Method Be;Prep Be;Method Ce;Prep Ce;Method Co;Prep Co;Method Cr;Prep Cr;Method Cs;Prep Cs;Method Cu;Prep Cu;Method Dy;Prep Dy;Method Er;Prep Er;Method Eu;Prep Eu;Method Ga;Prep Ga;Method Gd;Prep Gd;Method Hf;Prep Hf;Method Ho;Prep Ho;Method La;Prep La;Method Li;Prep Li;Method Lu;Prep Lu;Method Nb;Prep Nb;Method Nd;Prep Nd;Method Ni;Prep Ni;Method Pb;Prep Pb;Method Pr;Prep Pr;Method Rb;Prep Rb;Method Sb;Prep Sb;Method Sc;Prep Sc;Method Sm;Prep Sm;Method Sn;Prep Sn;Method Sr;Prep Sr;Method Ta;Prep Ta;Method Tb;Prep Tb;Method Th;Prep Th;Method Tl;Prep Tl;Method Tm;Prep Tm;Method U;Prep U;Method V;Prep V;Method Y;Prep Y;Method Yb;Prep Yb;Method Zn;Prep Zn;Method Zr;Prep Zr
Graz;11;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1030°C;;;;;;;;;XRF;FB;XRF;FB;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;XRF;FB;;
IGG;12;XRF;PP;XRF;PP;XRF;PP;XRF;PP;titrimetry;AD;XRF;PP;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP;;;;;;;gravimetry;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
HUK;13;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Combustion at 900°C 2 h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INETI;14;XRF;PP;XRF;PP;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP;XRF;PP;XRF;PP;XRF;PP;XRF;PP;;;;;;;;;ICP-AES;AD;XRF;FB;;;ICP-MS;SI;XRF;FB;XRF;FB;;;XRF;FB;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;FB;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;FB;;;ICP-MS;SI;;;;;XRF;FB;ICP-MS;SI;;;XRF;FB;;;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;XRF;FB;XRF;FB;ICP-MS;SI;XRF;FB;XRF;FB
IPEN;15;;;;;;;INAA;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INAA;NO;INAA;NO;INAA;NO;;;;;;;;;INAA;NO;;;;;INAA;NO;;;INAA;NO;;;INAA;NO;;;;;;;;;;;;;;;INAA;NO;INAA;NO;;;;;;;INAA;NO;;;;;;;;;;;;;INAA;NO;INAA;NO;;
KBSI;16;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
Lapp;17;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1200;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LU;18;;;ICP-MS;AD;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
LMTG;19;;;ICP-MS;AD;;;;;;;ICP-MS;AD;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;FMAD;;;;;ICP-MS;AD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;
Montpellier;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD
MUL;21;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;gravimetry;105°C;;;gravimetry;1000°C;;;XRF;PP;;;ICP-MS;SI;XRF;PP;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;XRF;PP;;;ICP-MS;SI;ICP-MS;SI;;;XRF;PP;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;ICP-MS;SI;;;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI;ICP-MS;SI;XRF;PP;ICP-MS;SI
NWU;22;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1000°C;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
OGL;23;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;IR cell;105 and 1000 °C in nitrogen;IR cell;105 and 1000 °C in nitrogen;;;gravimetry;1000 °C in oxygen to constant mass;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;;;ICP-MS;AD;;;;;ICP-MS;AD;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;
OGL2;24;;;ICP-MS;AD;;;;;;;XRF;PP;;;;;;;XRF;PP;XRF;PP;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;;;;;ICP-MS;AD;;;;;ICP-MS;AD;;;ICP-MS;AD;;;XRF;PP;ICP-MS;AD;;;XRF;PP;ICP-MS;AD;XRF;PP;;;ICP-MS;AD;XRF;PP;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
OGL3;25;;;;;;;;;;;;;;;;;;;XRF;FB;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;;;;;ICP-MS;AD
OU;26;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Ignition at 1000 C for 1 hour in alumina crucibles;;;XRF;PP;;;;;XRF;PP;XRF;PP;;;XRF;PP;;;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;;;XRF;PP;;;;;XRF;PP;;;XRF;PP;;;;;XRF;PP;;;;;;;;;;;;;XRF;PP;XRF;PP;;;XRF;PP;XRF;PP
SGS;27;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;1000°C;;;ICP-AES;FMAD;ICP-AES;FMAD;;;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;;;;;;;;;;;ICP-AES;FMAD;;;;;;;;;;;;;ICP-AES;FMAD;ICP-AES;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;
SRNL;28;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;Heated 2X for 1 hr at 1000C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulaval;29;;;;;;;INAA;NO;;;;;;;;;INAA;NO;;;;;;;;;;;;;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;;;;;INAA;NO;;;;;INAA;NO;;;INAA;NO;;;INAA;NO;;;INAA;NO;INAA;NO;;;;;;;INAA;NO;INAA;NO;INAA;NO;;;;;INAA;NO;INAA;NO;;;;;;;;;;;;;INAA;NO;;;;
UNICAMP;30;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;;;;;gravimetry;1000 °C;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XRF;FB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USGS;31;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;;INAA;NO;ICP-MS;AD;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;ICP-MS;AD;ICP-MS;SI;ICP-MS;SI;INAA;NO;ICP-MS;AD;INAA;NO;INAA;NO;INAA;NO;INAA;NO;ICP-MS;AD;INAA;NO;ICP-MS;AD;INAA;NO;INAA;NO;;;ICP-MS;SI;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;INAA;NO;INAA;NO;;;INAA;NO;INAA;NO;ICP-AES;AD;ICP-MS;SI;INAA;NO;INAA;NO;INAA;NO
USGS2;32;;;;;;;;;;;;;ICP-AES;AD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;;;;;;;;;;;;;ICP-MS;SI;;;;;;;;;ICP-MS;AD;ICP-MS;AD;;;;;;
VSEGEI;33;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;ICP-MS;FMAD;;;;;;;gravimetry;960;;;ICP-MS;Fusion with LiBO2, dissolution with HNO3;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;;;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD
Wuhan;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;;;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD;ICP-MS;AD
WSU;35;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;XRF;FB;;;;;;;gravimetry;LOI after 16 hrs at 900 C;;;ICP-MS;FMAD;;;ICP-MS;FMAD;;;XRF;FB;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;ICP-MS;FMAD;;;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD;ICP-MS;FMAD;XRF;FB;ICP-MS;FMAD
Wien;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ID-TIMS;AD;;;;;;;ID-TIMS;AD;;;;;ID-TIMS;AD;;;ID-TIMS;AD;;;;;;;;;;;;;;;;;;;;;;
